trekkie,has_prefix_with_root,trek
trekkie,has_suffix,ie
teleport,back-formation_from,teleportation
lightspeed,compound_of,light
lightspeed,compound_of,speed
growth,has_prefix_with_root,grow
parole,doublet_with,parabola
parole,doublet_with,parable
parole,doublet_with,palaver
shapeshift,back-formation_from,shapeshifter
futurism,has_prefix_with_root,future
futurism,has_suffix,ism
can,doublet_with,con
zero,doublet_with,cipher
precolumbian,has_prefix_with_root,columbian
quarter,doublet_with,quartier
bioterror,has_prefix,bio
bioterror,has_prefix_with_root,terror
fortnight,compound_of,fourteen
fortnight,compound_of,night
dotcom,compound_of,dot
decade,has_affix,ad
three,doublet_with,trey
spacer,has_affix,space
two,doublet_with,duo
decrypt,has_affix,de
decrypt,has_affix,crypt
five,doublet_with,punch
five,doublet_with,pimp
millisecond,has_prefix_with_root,second
polytheism,has_affix,poly
polytheism,has_affix,theism
letter,has_affix,let
clock,cognate_of,cluck
encrypt,has_affix,en
encrypt,has_affix,crypt
meat,cognate_of,mast
chairman,has_prefix_with_root,chair
chairman,has_suffix,man
beer,has_prefix_with_root,be
monotheism,has_affix,mono
monotheism,has_affix,theism
nigger,doublet_with,negro
nigger,doublet_with,noir
point,doublet_with,pointe
point,doublet_with,punt
dickhead,compound_of,dick
dickhead,compound_of,head
biblical,has_prefix_with_root,bible
motherfucker,compound_of,mother
motherfucker,compound_of,fucker
subsidiarity,has_prefix_with_root,subsidiary
proportionality,has_prefix_with_root,proportional
subjectivism,has_prefix_with_root,subjective
subjectivism,has_suffix,ism
amoral,has_affix,a
amoral,has_affix,moral
uncountable,has_prefix_with_root,countable
pissed,has_affix,piss
accordionist,has_prefix_with_root,accordion
antisemitism,has_affix,anti
antisemitism,has_affix,semitism
occultation,has_prefix_with_root,occult
port,doublet_with,ford
port,doublet_with,porta
port,abbreviation_of,portmanteau
woodwind,compound_of,wood
woodwind,compound_of,wind
tighten,has_prefix_with_root,tight
tighten,has_suffix,en
railway,compound_of,rail
railway,compound_of,way
morpheme,has_prefix_with_root,morph
date,doublet_with,data
bot,clipping_of,robot
everybody,compound_of,every
everybody,compound_of,body
reality,has_prefix_with_root,real
reality,doublet_with,realty
aria,doublet_with,air
stock,doublet_with,chock
music,has_prefix_with_root,muse
lifetime,compound_of,life
lifetime,compound_of,time
nullify,has_prefix_with_root,null
peace,doublet_with,pax
stickiness,has_prefix_with_root,sticky
stickiness,has_suffix,ness
inflation,has_prefix_with_root,inflate
inflation,has_suffix,ion
unemployment,has_affix,employment
currently,has_prefix_with_root,current
urban,doublet_with,urbane
tax,doublet_with,task
policy,doublet_with,police
policy,doublet_with,polity
metadata,has_prefix,meta
metadata,has_prefix_with_root,data
webmaster,compound_of,web
webmaster,compound_of,master
derecho,doublet_with,direct
bank,doublet_with,bench
government,has_prefix_with_root,govern
fruit,cognate_of,brook
husband,has_affix,house
husband,has_affix,bond
open,cognate_of,up
morning,has_prefix_with_root,morn
aliveness,has_prefix_with_root,alive
aliveness,has_suffix,ness
meeting,has_affix,meet
meeting,has_affix,meet
appeaser,has_prefix_with_root,appease
global,has_affix,globe
investment,has_prefix_with_root,invest
yesterday,has_affix,day
forecast,has_prefix,fore
forecast,has_prefix_with_root,cast
but,has_affix,be
but,has_affix,out
accommodation,has_prefix_with_root,accommodate
accommodation,has_suffix,ion
also,compound_of,all
also,compound_of,so
network,compound_of,net
network,compound_of,work
nanosecond,has_prefix_with_root,second
digital,doublet_with,digitalis
wireless,has_prefix_with_root,wire
wireless,has_suffix,less
first,has_prefix_with_root,fore
careful,has_prefix_with_root,care
political,has_prefix_with_root,politic
pseudonym,back-formation_from,pseudonymous
pseudonym,has_affix,pseudo
disease,has_prefix_with_root,ease
early,has_prefix_with_root,ere
early,has_prefix_with_root,ere
welcome,compound_of,will
welcome,compound_of,come
gas,clipping_of,gasoline
standard,has_prefix_with_root,stand
standard,has_affix,stand
skillful,has_prefix_with_root,skill
financial,has_prefix_with_root,finance
pollutant,has_prefix_with_root,pollute
pollutant,has_suffix,ant
offset,has_prefix,off
offset,has_prefix_with_root,set
software,has_affix,soft
current,doublet_with,courant
abridgement,has_prefix_with_root,abridge
precipitously,has_prefix_with_root,precipitous
computer,has_prefix_with_root,compute
computer,doublet_with,counter
absorbency,has_prefix_with_root,absorbance
abstinence,has_affix,abstain
abstraction,has_affix,abstract
abstraction,has_affix,ion
abutment,has_prefix_with_root,abut
academy,doublet_with,academia
accelerate,back-formation_from,acceleration
acceleration,has_prefix_with_root,accelerate
acceleration,has_suffix,ion
accomplished,has_prefix_with_root,accomplish
accelerator,has_prefix_with_root,accelerate
accelerator,has_suffix,or
acclimatization,has_prefix_with_root,acclimatize
abuse,has_prefix_with_root,use
accompaniment,has_prefix_with_root,accompany
acclimatize,has_prefix_with_root,acclimate
affix,has_prefix,ad
affix,has_prefix_with_root,fix
accountability,has_prefix_with_root,accountable
accountancy,has_prefix_with_root,account
accountable,has_prefix_with_root,account
accountable,has_suffix,able
accreditation,has_prefix_with_root,accredit
accumulation,has_prefix_with_root,accumulate
accumulation,has_suffix,ion
accuracy,has_prefix_with_root,accurate
accountant,has_prefix_with_root,account
accountant,has_suffix,ant
accumulator,has_prefix_with_root,accumulate
accumulator,has_suffix,or
accusative,has_prefix_with_root,accuse
accusation,has_prefix_with_root,accuse
curvaceous,has_prefix_with_root,curve
acidify,has_prefix_with_root,acid
acidic,has_prefix_with_root,acid
acidosis,has_prefix_with_root,acid
ace,doublet_with,as
choir,doublet_with,chorus
quotation,has_affix,quote
shuttle,has_prefix_with_root,shut
poison,doublet_with,potion
ad,clipping_of,advertise
retrovirus,has_affix,retro
retrovirus,has_affix,virus
genome,has_prefix_with_root,gene
indoeuropean,has_affix,european
cow,has_suffix,en
army,doublet_with,armada
money,cognate_of,fee
money,doublet_with,mint
emoticon,blend_of,emotion
emoticon,blend_of,icon
bigfoot,compound_of,big
bigfoot,compound_of,foot
baby,has_prefix_with_root,babe
it,cognate_of,hit
security,has_prefix_with_root,secure
security,doublet_with,surety
picosecond,has_affix,second
drug,cognate_of,dry
defer,doublet_with,differ
next,has_prefix_with_root,nigh
stylus,doublet_with,style
plant,doublet_with,clan
finnish,has_prefix_with_root,finn
kill,doublet_with,chill
protester,has_prefix_with_root,protest
brazilian,has_prefix_with_root,brazil
kindling,has_prefix_with_root,kindle
supersede,doublet_with,surcease
academician,has_prefix_with_root,academic
bench,doublet_with,bank
cherry,doublet_with,cerise
mauve,doublet_with,mallow
grapefruit,compound_of,grape
grapefruit,compound_of,fruit
fifth,has_prefix_with_root,five
cowbell,compound_of,cow
cowbell,compound_of,bell
clapper,has_prefix_with_root,clap
fourth,has_prefix_with_root,four
tenth,cognate_of,tithe
tenth,has_affix,ten
zipper,has_affix,zip
musical,has_prefix_with_root,music
tempo,doublet_with,tense
yourself,has_prefix_with_root,your
yourself,has_suffix,self
football,compound_of,foot
football,compound_of,ball
chinese,has_prefix_with_root,china
yours,has_affix,your
written,has_prefix_with_root,write
written,has_suffix,en
worthwhile,compound_of,worth
worthwhile,compound_of,while
